draw,intercept,slope
593,-17.0051397716476,1.1425047668157753
594,-17.17843192547131,1.1438089019421136
595,-16.991201109641107,1.1393413636974188
596,-17.193967750882425,1.148480704612117
597,-16.902779941295904,1.136969535990513
598,-17.287810617485132,1.1506569584525381
599,-17.23829702858616,1.1494080194896368
600,-17.00042348198808,1.1397873991313414
601,-16.85892353312983,1.1340904308014723
602,-17.286203940461345,1.1495185075883152
603,-17.146494288791327,1.1463199397582946
604,-17.04819659205725,1.1431548014361133
605,-17.3057670381782,1.1531500204652332
606,-17.183834204687983,1.1466013837379245
607,-17.27488196745507,1.1514537231162096
608,-17.21234635502817,1.1474381482778786
609,-17.181202720480925,1.1467354689435927
610,-17.339479742959217,1.154942217374046
611,-17.072841173474266,1.1452855340331114
612,-17.000395140562198,1.141599429790882
613,-17.2894324678424,1.151125315646228
614,-16.958625796176957,1.1392896726073447
615,-17.263695599085594,1.1501208376613046
616,-17.040568555719688,1.1434005967284449
617,-17.425875169489764,1.1551041629095309
618,-16.923938627702178,1.1382232473001535
619,-17.131856141817092,1.1462400044445935
620,-17.017335136808423,1.1417036744007014
621,-17.303992456812058,1.1534426841073948
622,-16.920896094236088,1.1385022874466937
623,-17.135309980916354,1.1458613046141386
624,-17.1963883790677,1.1478989009024239
625,-17.09942712783514,1.143804542115893
626,-17.08629831523792,1.145122726485435
627,-17.205097175326905,1.1487159896710446
628,-16.958387494687006,1.1395264765214812
629,-17.23746448979516,1.1496892237178806
630,-16.96834470725516,1.141158980610326
631,-16.932570804941452,1.1402322234066502
632,-17.433250784814504,1.1564091907213159
633,-16.972147170514045,1.1426290265066936
634,-17.17447710747691,1.1480316865610187
635,-17.141389162328338,1.1453109249279547
636,-17.162742114366527,1.1450250410527782
637,-17.093588058644755,1.1438493361259008
638,-16.867394319411215,1.1365409198060896
639,-17.239360430006904,1.146518473872097
640,-16.995741648865245,1.1419033657538313
641,-17.27616255415052,1.152907506022465
642,-17.168266939036343,1.1460237432563114
643,-17.45016750107456,1.1568740727238989
644,-17.081253873174084,1.1418740302339818
645,-16.928497244604745,1.1380049095277436
646,-17.101354337007486,1.144386310775899
647,-17.37765922052047,1.1544124686234039
648,-16.771294651713728,1.1352239321741977
649,-17.12536424942363,1.143756074197585
650,-17.139321439825352,1.148338564491755
651,-17.06124681612395,1.14337571469761
652,-17.261952972328768,1.149124676156503
653,-16.956365939113372,1.1388527674401325
654,-17.20131641519448,1.14849960838632
655,-16.910170449848017,1.138823842060256
656,-17.22195483184997,1.1473818471179993
657,-17.396527145041325,1.1546750042863192
658,-17.103233700762882,1.1435344250371455
659,-17.432828324156496,1.1545880400581865
660,-17.042022178211713,1.1410295707369136
661,-17.10849429969063,1.146955558414053
662,-16.93579124555675,1.1397545388491523
663,-16.89854448222426,1.1363409669649915
664,-16.868671215462342,1.1369669708044388
665,-17.2472879429762,1.1486194693538159
666,-17.188558134250812,1.1484309172872138
667,-16.69403492082373,1.1347054946141826
668,-17.49888249715828,1.1553470948653095
669,-16.831009752036763,1.1381231999085488
670,-16.874050867659523,1.138602214785319
671,-17.10611928438848,1.1455189551850113
672,-17.016143203777805,1.1411161655855313
673,-17.15835001471319,1.1453890391453647
674,-17.16422082819989,1.1476185374462862
675,-17.398834461109967,1.1524359892660585
676,-17.321282506957928,1.1499023825804644
677,-17.362670832128124,1.1533732848289342
678,-16.905136696439683,1.139030070609186
679,-17.092097355309317,1.142103966048871
680,-17.24956722064725,1.1475039573342476
681,-17.390500452562662,1.1513562894968004
682,-17.29240427057129,1.1494071135200088
683,-16.771261118849026,1.1341835319190143
684,-17.330987950086026,1.151291260593818
685,-16.99805734283833,1.139505704497672
686,-16.888714804837978,1.1371516666452637
687,-17.139931107387664,1.1447573610158892
688,-16.71311736697706,1.1342606325429434
689,-17.023162855952428,1.1430551259980357
690,-17.398000121080994,1.1562017470726025
691,-17.278392179955215,1.1494916524060994
692,-17.16392752325143,1.1463190612088419
693,-17.16737687134941,1.1478985370910246
694,-17.20414000771433,1.1482166003868821
695,-17.19758461812723,1.1465318009207837
696,-17.31357895952383,1.153779469202076
697,-16.93619947122489,1.1399619859818302
698,-17.371866194535595,1.1513640828741685
